iso,country,sex,df,Region
ABW,Aruba,female,0.53869556,Latin America & Caribbean
AFG,Afghanistan,female,1.62924581,South Asia
AGO,Angola,female,0.54814732,Sub-Saharan Africa
AIA,Anguilla,female,NA,NA
ALB,Albania,female,2.12863769,Europe & Central Asia
AND,Andorra,female,2.19771801,Europe & Central Asia
ARE,United Arab Emirates,female,1.40182038,Middle East & North Africa
ARG,Argentina,female,1.58209474,Latin America & Caribbean
ARM,Armenia,female,3.12124306,Europe & Central Asia
ATG,Antigua and Barbuda,female,NA,Latin America & Caribbean
AUS,Australia,female,-0.440518,East Asia & Pacific
AUT,Austria,female,0.36573012,Europe & Central Asia
AZE,Azerbaijan,female,5.11021487,Europe & Central Asia
BDI,Burundi,female,1.20528735,Sub-Saharan Africa
BEL,Belgium,female,1.12088066,Europe & Central Asia
BEN,Benin,female,0.50925296,Sub-Saharan Africa
BFA,Burkina Faso,female,NA,Sub-Saharan Africa
BGD,Bangladesh,female,1.56485921,South Asia
BGR,Bulgaria,female,1.24789343,Europe & Central Asia
BHR,Bahrain,female,0.93193497,Middle East & North Africa
BHS,Bahamas,female,-3.03826022,Latin America & Caribbean
BIH,Bosnia and Herzegovina,female,0.38756524,Europe & Central Asia
BLM,Saint Barthelemy,female,NA,NA
BLR,Belarus,female,1.75263625,Europe & Central Asia
BLZ,Belize,female,0.73327325,Latin America & Caribbean
BMU,Bermuda,female,-0.41993844,North America
BOL,Bolivia,female,2.8685564,Latin America & Caribbean
BRA,Brazil,female,1.3118951,Latin America & Caribbean
BRB,Barbados,female,0.00605327,Latin America & Caribbean
BRN,Brunei Darussalam,female,-0.02780965,East Asia & Pacific
BTN,Bhutan,female,0.04102615,South Asia
BWA,Botswana,female,0.21365631,Sub-Saharan Africa
CAF,Central African Republic,female,1.07606236,Sub-Saharan Africa
CAN,Canada,female,0.36017338,North America
CHE,Switzerland,female,0.61878512,Europe & Central Asia
CHL,Chile,female,0.8394047,Latin America & Caribbean
CHN,China,female,-0.02786034,East Asia & Pacific
CIV,Cote d'Ivoire,female,0.66949079,Sub-Saharan Africa
CMR,Cameroon,female,0.888635,Sub-Saharan Africa
COD,Dem. Rep. Congo,female,0.90519519,Sub-Saharan Africa
COG,Republic of Congo,female,-1.40034932,Sub-Saharan Africa
COK,Cook Islands,female,NA,NA
COL,Colombia,female,1.77811077,Latin America & Caribbean
COM,Comoros,female,0.03036644,Sub-Saharan Africa
CPV,Cabo Verde,female,1.33911341,Sub-Saharan Africa
CRI,Costa Rica,female,0.20158646,Latin America & Caribbean
CUB,Cuba,female,-0.13850184,Latin America & Caribbean
CUW,Curacao,female,NA,Latin America & Caribbean
CYM,Cayman Islands,female,662.3967076,Latin America & Caribbean
CYP,Cyprus,female,0.03690089,Europe & Central Asia
CZE,Czech Republic,female,0.7722416,Europe & Central Asia
DEU,Germany,female,0.45971578,Europe & Central Asia
DJI,Djibouti,female,0.46203081,Middle East & North Africa
DMA,Dominica,female,NA,Latin America & Caribbean
DNK,Denmark,female,0.08342301,Europe & Central Asia
DOM,Dominican Republic,female,0.05914694,Latin America & Caribbean
DZA,Algeria,female,2.15486106,Middle East & North Africa
ECU,Ecuador,female,3.916037,Latin America & Caribbean
EGY,Egypt,female,0.6722469,Middle East & North Africa
ERI,Eritrea,female,NA,Sub-Saharan Africa
ESH,Western Sahara,female,0.09088003,NA
ESP,Spain,female,1.32505409,Europe & Central Asia
EST,Estonia,female,0.5523684,Europe & Central Asia
ETH,Ethiopia,female,1.03682431,Sub-Saharan Africa
FIN,Finland,female,0.13650088,Europe & Central Asia
FJI,Fiji,female,0.05886727,East Asia & Pacific
FLK,Falkland Islands,female,NA,NA
FRA,France,female,0.52685381,Europe & Central Asia
FRO,Faeroe Islands,female,-0.93082022,Europe & Central Asia
FSM,Micronesia,female,NA,East Asia & Pacific
GAB,Gabon,female,0.08089885,Sub-Saharan Africa
GBR,United Kingdom,female,1.18750341,Europe & Central Asia
GEO,Georgia,female,0.72003584,Europe & Central Asia
GEO,Georgia,female,0.72003584,Europe & Central Asia
GGY,Guernsey,female,0.01834184,NA
GHA,Ghana,female,0.8299997,Sub-Saharan Africa
GIN,Guinea,female,0.69205501,Sub-Saharan Africa
GMB,Gambia,female,1.14346383,Sub-Saharan Africa
GNB,Guinea-Bissau,female,1.08203576,Sub-Saharan Africa
GNQ,Equatorial Guinea,female,0.94935842,Sub-Saharan Africa
GRC,Greece,female,0.41070528,Europe & Central Asia
GRD,Grenada,female,-0.07957571,Latin America & Caribbean
GRL,Greenland,female,NA,Europe & Central Asia
GTM,Guatemala,female,0.38342852,Latin America & Caribbean
GUY,Guyana,female,0.67020697,Latin America & Caribbean
HKG,Hong Kong,female,0.09304451,East Asia & Pacific
HND,Honduras,female,1.5925637,Latin America & Caribbean
HRV,Croatia,female,0.87174475,Europe & Central Asia
HTI,Haiti,female,1.5021028,Latin America & Caribbean
HUN,Hungary,female,0.80148695,Europe & Central Asia
IDN,Indonesia,female,1.84787439,East Asia & Pacific
IMN,Isle of Man,female,0.07768182,Europe & Central Asia
IND,India,female,0.76017369,South Asia
IRL,Ireland,female,0.10467619,Europe & Central Asia
IRN,Iran,female,1.56570574,Middle East & North Africa
IRQ,Iraq,female,2.55675598,Middle East & North Africa
ISL,Iceland,female,NA,Europe & Central Asia
ISR,Israel,female,0.29607974,Middle East & North Africa
ITA,Italy,female,1.03728271,Europe & Central Asia
JAM,Jamaica,female,-0.20669354,Latin America & Caribbean
JEY,Jersey,female,0.10338622,NA
JOR,Jordan,female,0.9996404,Middle East & North Africa
JPN,Japan,female,-0.0807247,East Asia & Pacific
KAZ,Kazakhstan,female,1.37549183,Europe & Central Asia
KEN,Kenya,female,0.52829649,Sub-Saharan Africa
KGZ,Kyrgyzstan,female,1.83601115,Europe & Central Asia
KHM,Cambodia,female,0.46805283,East Asia & Pacific
KIR,Kiribati,female,NA,East Asia & Pacific
KNA,Saint Kitts and Nevis,female,NA,Latin America & Caribbean
KOR,South Korea,female,0.26348016,East Asia & Pacific
KWT,Kuwait,female,2.67914755,Middle East & North Africa
LAO,Laos,female,-0.05060605,East Asia & Pacific
LBN,Lebanon,female,1.17683201,Middle East & North Africa
LBR,Liberia,female,0.09395722,Sub-Saharan Africa
LBY,Libya,female,0.37458575,Middle East & North Africa
LCA,Saint Lucia,female,NA,Latin America & Caribbean
LIE,Liechtenstein,female,0.96078046,Europe & Central Asia
LKA,Sri Lanka,female,-0.14229989,South Asia
LSO,Lesotho,female,0.43486406,Sub-Saharan Africa
LTU,Lithuania,female,0.74609697,Europe & Central Asia
LUX,Luxembourg,female,0.91193481,Europe & Central Asia
LVA,Latvia,female,0.41362362,Europe & Central Asia
MAC,Macao,female,-0.07263166,East Asia & Pacific
MAR,Morocco,female,0.54891444,Middle East & North Africa
MCO,Monaco,female,0.26669722,Europe & Central Asia
MDA,Moldova,female,0.9715434,Europe & Central Asia
MDG,Madagascar,female,0.92382863,Sub-Saharan Africa
MDV,Maldives,female,0.19007796,South Asia
MEX,Mexico,female,3.14041819,Latin America & Caribbean
MHL,Marshall Islands,female,NA,East Asia & Pacific
MKD,North Macedonia,female,2.02386287,Europe & Central Asia
MLI,Mali,female,NA,Sub-Saharan Africa
MLT,Malta,female,NA,Middle East & North Africa
MMR,Myanmar,female,0.15611449,East Asia & Pacific
MNE,Montenegro,female,0.88859591,Europe & Central Asia
MNG,Mongolia,female,0.08271848,East Asia & Pacific
MOZ,Mozambique,female,0.47486556,Sub-Saharan Africa
MRT,Mauritania,female,1.44870366,Sub-Saharan Africa
MUS,Mauritius,female,0.60267983,Sub-Saharan Africa
MWI,Malawi,female,1.02980233,Sub-Saharan Africa
MYS,Malaysia,female,-0.02488785,East Asia & Pacific
NAM,Namibia,female,0.63592257,Sub-Saharan Africa
NCL,New Caledonia,female,-0.2680881,East Asia & Pacific
NER,Niger,female,1.91162179,Sub-Saharan Africa
NGA,Nigeria,female,-0.030251,Sub-Saharan Africa
NIC,Nicaragua,female,2.03356309,Latin America & Caribbean
NIU,Niue,female,NA,NA
NLD,Netherlands,female,0.28376053,Europe & Central Asia
NOR,Norway,female,-0.00702941,Europe & Central Asia
NPL,Nepal,female,0.36525357,South Asia
NRU,Nauru,female,NA,East Asia & Pacific
NZL,New Zealand,female,-0.58888068,East Asia & Pacific
OMN,Oman,female,3.27805013,Middle East & North Africa
PAK,Pakistan,female,0.53863756,South Asia
PAN,Panama,female,1.29052385,Latin America & Caribbean
PER,Peru,female,1.7991983,Latin America & Caribbean
PHL,Philippines,female,-0.16057522,East Asia & Pacific
PLW,Palau,female,NA,East Asia & Pacific
PNG,Papua New Guinea,female,0.19787134,East Asia & Pacific
POL,Poland,female,0.95785076,Europe & Central Asia
PRK,North Korea,female,0.24590531,East Asia & Pacific
PRT,Portugal,female,0.79898185,Europe & Central Asia
PRY,Paraguay,female,0.53649382,Latin America & Caribbean
PSE,State of Palestine,female,0.83833083,Middle East & North Africa
PYF,French Polynesia,female,-0.00961817,East Asia & Pacific
QAT,Qatar,female,2.26569905,Middle East & North Africa
ROU,Romania,female,1.02971119,Europe & Central Asia
RUS,Russia,female,2.71509895,Europe & Central Asia
RWA,Rwanda,female,-0.11905088,Sub-Saharan Africa
SAU,Saudi Arabia,female,1.09298562,Middle East & North Africa
SDN,Sudan,female,0.55383507,Sub-Saharan Africa
SEN,Senegal,female,-542954.7124,Sub-Saharan Africa
SGP,Singapore,female,0.78622595,East Asia & Pacific
SLB,Solomon Islands,female,0.18767112,East Asia & Pacific
SLE,Sierra Leone,female,1.12197798,Sub-Saharan Africa
SLV,El Salvador,female,0.9190494,Latin America & Caribbean
SMR,San Marino,female,1.89807542,Europe & Central Asia
SOM,Somalia,female,1.7355457,Sub-Saharan Africa
SRB,Serbia,female,1.29982764,Europe & Central Asia
SSD,South Sudan,female,0.22605121,Sub-Saharan Africa
STP,Sao Tome and Principe,female,NA,Sub-Saharan Africa
SUR,Suriname,female,-0.08650456,Latin America & Caribbean
SVK,Slovakia,female,0.93738538,Europe & Central Asia
SVN,Slovenia,female,1.04722178,Europe & Central Asia
SWE,Sweden,female,0.59734081,Europe & Central Asia
SWZ,Eswatini,female,2.1036706,Sub-Saharan Africa
SXM,Sint Maarten,female,0.64622114,Latin America & Caribbean
SYC,Seychelles,female,0.52256683,Sub-Saharan Africa
SYR,Syria,female,0.13721762,Middle East & North Africa
TCA,Turks and Caicos Islands,female,NA,Latin America & Caribbean
TCD,Chad,female,0.88105129,Sub-Saharan Africa
TGO,Togo,female,0.2442513,Sub-Saharan Africa
THA,Thailand,female,0.04909502,East Asia & Pacific
TJK,Tajikistan,female,3.09464236,Europe & Central Asia
TKM,Turkmenistan,female,0.51227602,Europe & Central Asia
TLS,Timor-Leste,female,-0.05975373,East Asia & Pacific
TON,Tonga,female,-0.34479759,East Asia & Pacific
TTO,Trinidad and Tobago,female,-0.06331603,Latin America & Caribbean
TUN,Tunisia,female,0.1513204,Middle East & North Africa
TUR,Turkey,female,2.17426582,Europe & Central Asia
TUV,Tuvalu,female,NA,East Asia & Pacific
TWN,Taiwan,female,-0.01189324,East Asia & Pacific
TZA,Tanzania,female,1.16981707,Sub-Saharan Africa
UGA,Uganda,female,0.60766528,Sub-Saharan Africa
UKR,Ukraine,female,2.6648596,Europe & Central Asia
URY,Uruguay,female,-0.51935715,Latin America & Caribbean
USA,United States of America,female,1.31055554,North America
UZB,Uzbekistan,female,1.36859921,Europe & Central Asia
VCT,Saint Vincent and the Grenadines,female,0.97607337,Latin America & Caribbean
VEN,Venezuela,female,0.53966474,Latin America & Caribbean
VGB,British Virgin Islands,female,NA,Latin America & Caribbean
VNM,Viet Nam,female,-0.98884899,East Asia & Pacific
VUT,Vanuatu,female,0.02959683,East Asia & Pacific
WLF,Wallis and Futuna Islands,female,NA,NA
WSM,Samoa,female,-0.52220506,East Asia & Pacific
XKX,Kosovo,female,2.34328136,Europe & Central Asia
YEM,Yemen,female,0.66042274,Middle East & North Africa
ZAF,South Africa,female,1.84412921,Sub-Saharan Africa
ZMB,Zambia,female,0.9820181,Sub-Saharan Africa
ZWE,Zimbabwe,female,0.83908839,Sub-Saharan Africa
